decile,borrowers,avg_PD,actual_rate,defaults,cum_defaults_pct,cum_pop_pct
D10,1863,0.2815793707152285,0.2957595276435856,551,0.27331349206349204,0.10003758792890512
D9,1862,0.2450789074474608,0.23308270676691728,434,0.4885912698412698,0.20002147881651722
D8,1862,0.20675176809047258,0.19763694951664876,368,0.6711309523809523,0.3000053697041293
D7,1862,0.056704261353460295,0.05370569280343716,100,0.720734126984127,0.3999892605917414
D6,1862,0.05275541008618078,0.05531686358754028,103,0.7718253968253969,0.4999731514793535
D5,1863,0.050669719908487544,0.04455179817498658,83,0.8129960317460317,0.6000107394082586
D4,1862,0.0485783025735204,0.04564983888292159,85,0.8551587301587301,0.6999946302958707
D3,1862,0.04671223833259306,0.05209452201933405,97,0.9032738095238095,0.7999785211834828
D2,1862,0.04547281416874941,0.054242749731471536,101,0.9533730158730159,0.8999624120710948
D1,1863,0.04222029306672762,0.05045625335480408,94,1.0,1.0
