threshold,precision,recall,f1,accuracy
0.05,0.15013901760889714,0.8035714285714286,0.2530064032484773,0.4863341029909252
0.1,0.24284943335132217,0.6696428571428571,0.3564356435643564,0.7382269236965043
0.15,0.24401306240928883,0.6671626984126984,0.3573326248671626,0.7402137142243462
0.2,0.24928131416837782,0.6021825396825397,0.3525994772001162,0.7606185899156956
0.25,0.3064971751412429,0.2152777777777778,0.2529137529137529,0.8623207861246845
0.3,0.39503386004514673,0.08680555555555555,0.1423342822285482,0.8867529399130107
0.35,0.39403973509933776,0.059027777777777776,0.10267471958584987,0.8883101541105085
0.4,0.2727272727272727,0.005952380952380952,0.011650485436893204,0.8906728239274015
0.45,0.2777777777777778,0.00248015873015873,0.004916420845624385,0.8913171884229178
0.5,0.25,0.000496031746031746,0.0009900990099009901,0.891639370670676
0.55,0.0,0.0,0.0,0.891639370670676
0.6,0.0,0.0,0.0,0.8916930677119691
0.65,0.0,0.0,0.0,0.8916930677119691
0.7,0.0,0.0,0.0,0.8917467647532621
0.75,0.0,0.0,0.0,0.8917467647532621
0.8,0.0,0.0,0.0,0.8917467647532621
0.85,0.0,0.0,0.0,0.8917467647532621
0.9,0.0,0.0,0.0,0.8917467647532621
0.95,0.0,0.0,0.0,0.8917467647532621
